iter	Passed	Remaining
327	3530	1851
328	3539	1839
329	3549	1828
330	3558	1816
331	3568	1805
332	3577	1793
333	3587	1782
334	3597	1771
335	3605	1759
336	3615	1748
337	3626	1737
338	3635	1726
339	3644	1715
340	3653	1703
341	3664	1693
342	3673	1681
343	3682	1670
344	3691	1658
345	3702	1647
346	3715	1638
347	3723	1626
348	3735	1616
349	3745	1605
350	3754	1593
351	3763	1582
352	3772	1571
353	3782	1560
354	3791	1548
355	3800	1537
356	3811	1526
357	3820	1515
358	3832	1505
359	3842	1494
360	3852	1483
361	3862	1472
362	3871	1461
363	3881	1450
364	3890	1438
365	3898	1427
366	3908	1416
367	3917	1405
368	3928	1394
369	3938	1383
370	3947	1372
371	3957	1361
372	3965	1350
373	3974	1339
374	3983	1327
375	3992	1316
376	4002	1305
377	4011	1294
378	4022	1284
379	4032	1273
380	4044	1263
381	4056	1252
382	4067	1242
383	4078	1232
384	4089	1221
385	4104	1212
386	4114	1201
387	4126	1191
388	4140	1181
389	4153	1171
390	4164	1160
391	4175	1150
392	4188	1140
393	4199	1129
394	4210	1119
395	4223	1109
396	4236	1099
397	4250	1089
398	4260	1078
399	4273	1068
400	4287	1058
401	4302	1048
402	4319	1039
403	4332	1029
404	4344	1019
405	4357	1008
406	4370	998
407	4383	988
408	4394	977
409	4405	967
410	4418	956
411	4431	946
412	4441	935
413	4455	925
414	4467	915
415	4479	904
416	4489	893
417	4504	883
418	4516	873
419	4530	862
420	4541	852
421	4552	841
422	4567	831
423	4579	820
424	4588	809
425	4600	799
426	4632	791
427	4653	782
428	4668	772
429	4679	761
430	4690	750
431	4701	740
432	4714	729
433	4724	718
434	4733	707
435	4743	696
436	4751	685
437	4762	674
438	4773	663
439	4784	652
440	4795	641
441	4805	630
442	4814	619
443	4824	608
444	4839	598
445	4848	587
446	4858	576
447	4871	565
448	4883	554
449	4894	543
450	4914	533
451	4929	523
452	4941	512
453	4954	502
454	4965	491
455	4978	480
456	4992	469
457	5009	459
458	5023	448
459	5034	437
460	5048	427
461	5061	416
462	5074	405
463	5085	394
464	5099	383
465	5111	372
466	5126	362
467	5140	351
468	5152	340
469	5165	329
470	5176	318
471	5189	307
472	5198	296
473	5208	285
474	5221	274
475	5231	263
476	5240	252
477	5249	241
478	5261	230
479	5271	219
480	5285	208
481	5296	197
482	5308	186
483	5317	175
484	5330	164
485	5340	153
486	5351	142
487	5362	131
488	5373	120
489	5388	109
490	5399	98
491	5416	88
492	5428	77
493	5442	66
494	5455	55
495	5467	44
496	5480	33
497	5488	22
498	5499	11
499	5512	0
